cloud,sunshine,maxtemp cloud,humidity,sunshine windspeed,sunshine winddirection,id sunshine,day sunshine,day,id,cloud temp_diff,temp_diff,maxtemp,winddirection,rainfall
88.0,1.1,1865.6,87.0,18.92,66.0,0.0,1.1,1.0,0.0,114.40000000000006,1.3000000000000007,21.2,60.0,1
91.0,0.0,1474.2,95.0,0.0,0.0,0.0,0.0,2.0,1.0,36.39999999999987,0.3999999999999986,16.2,50.0,1
47.0,8.3,911.8,75.0,150.23000000000002,581.0,16.6,24.9,3.0,2.0,225.5999999999999,4.799999999999999,19.4,70.0,1
95.0,0.0,1719.5000000000002,95.0,0.0,0.0,0.0,0.0,4.0,3.0,114.00000000000028,1.2000000000000028,18.1,60.0,1
45.0,3.6,958.5,59.0,89.28,144.0,14.4,18.0,5.0,4.0,274.50000000000006,6.100000000000001,21.3,40.0,0
81.0,0.0,1668.6,79.0,0.0,0.0,0.0,0.0,6.0,5.0,332.10000000000014,4.100000000000001,20.6,20.0,1
46.0,7.6,897.0,59.0,215.83999999999995,152.0,45.599999999999994,53.2,7.0,6.0,193.19999999999996,4.199999999999999,19.5,20.0,0
100.0,0.0,1580.0,96.0,0.0,0.0,0.0,0.0,8.0,7.0,310.0000000000001,3.1000000000000014,15.8,50.0,1
100.0,0.0,1760.0000000000002,86.0,0.0,0.0,0.0,0.0,9.0,8.0,200.00000000000017,2.0000000000000018,17.6,50.0,1
84.0,1.0,1386.0,77.0,38.3,50.0,9.0,10.0,10.0,9.0,378.0,4.5,16.5,50.0,0
100.0,0.0,1630.0,97.0,0.0,0.0,0.0,0.0,11.0,10.0,220.0000000000001,2.200000000000001,16.3,40.0,1
100.0,0.0,1620.0,97.0,0.0,0.0,0.0,0.0,12.0,11.0,219.99999999999991,2.1999999999999993,16.2,50.0,1
86.0,0.0,1290.0,77.0,0.0,0.0,0.0,0.0,13.0,12.0,154.80000000000007,1.8000000000000007,15.0,50.0,1
92.0,0.0,1242.0,87.0,0.0,0.0,0.0,0.0,14.0,13.0,174.80000000000004,1.9000000000000004,13.5,50.0,1
85.0,1.2,1513.0,77.0,25.08,48.0,16.8,18.0,15.0,14.0,229.50000000000009,2.700000000000001,17.8,40.0,1
91.0,0.3,1392.3,79.0,6.0,6.0,4.5,4.8,16.0,15.0,482.30000000000007,5.300000000000001,15.3,20.0,1
70.0,6.8,1141.0,79.0,206.04,136.0,108.8,115.6,17.0,16.0,343.0,4.9,16.3,20.0,1
60.0,2.5,1050.0,68.0,33.5,125.0,42.5,45.0,18.0,17.0,204.00000000000003,3.4000000000000004,17.5,50.0,0
77.0,0.0,1293.6,76.0,0.0,0.0,0.0,0.0,19.0,18.0,215.60000000000005,2.8000000000000007,16.8,20.0,1
93.0,0.1,1525.1999999999998,75.0,2.19,4.0,1.9,2.0,20.0,19.0,344.0999999999999,3.6999999999999993,16.4,40.0,1
88.0,0.4,1557.6,92.0,16.52,12.0,8.0,8.4,21.0,20.0,255.19999999999987,2.8999999999999986,17.7,30.0,1
49.0,9.1,1073.1,59.0,92.82,455.0,191.1,200.2,22.0,21.0,298.8999999999999,6.099999999999998,21.9,50.0,0
95.0,0.0,1757.5,95.0,0.0,0.0,0.0,0.0,23.0,22.0,152.00000000000014,1.6000000000000014,18.5,60.0,1
92.0,0.0,2281.6,90.0,0.0,0.0,0.0,0.0,24.0,23.0,708.4,7.699999999999999,24.8,70.0,1
