id,day,pressure,maxtemp,humidity,cloud,sunshine,winddirection,windspeed,temp_diff,humidity_index,windspeed_category,rainfall
0,1,1017.4,21.2,87.0,88.0,1.1,60.0,17.2,1.3000000000000007,4.223300970873786,Low,1
1,2,1019.5,16.2,95.0,91.0,0.0,50.0,21.9,0.3999999999999986,5.62130177514793,Medium,1
2,3,1024.1,19.4,75.0,47.0,8.3,70.0,18.1,4.799999999999999,4.658385093167701,Low,1
3,4,1013.4,18.1,95.0,95.0,0.0,60.0,35.6,1.2000000000000028,5.337078651685393,Medium,1
4,5,1021.8,21.3,52.0,45.0,3.6,40.0,24.8,6.100000000000001,2.8260869565217392,Medium,0
5,6,1022.7,20.6,79.0,81.0,0.0,20.0,15.7,4.100000000000001,4.247311827956989,Low,1
6,7,1022.8,19.5,56.0,46.0,7.6,20.0,28.4,4.199999999999999,3.0434782608695654,Medium,0
7,8,1019.7,15.8,96.0,100.0,0.0,50.0,39.7,3.1000000000000014,6.4,Medium,1
8,9,1017.4,17.6,86.0,100.0,0.0,50.0,37.5,2.0000000000000018,5.212121212121212,Medium,1
9,10,1025.4,16.5,77.0,84.0,1.0,50.0,38.3,4.5,5.133333333333334,Medium,0
10,11,1016.8,16.3,97.0,100.0,0.0,40.0,24.4,2.200000000000001,6.339869281045751,Medium,1
11,12,1012.5,16.2,98.0,100.0,0.0,50.0,23.5,2.1999999999999993,6.447368421052632,Medium,1
12,13,1020.4,15.0,77.0,86.0,0.0,50.0,32.4,1.8000000000000007,4.967741935483871,Medium,1
13,14,1012.5,13.5,87.0,92.0,0.0,50.0,37.0,1.9000000000000004,5.8,Medium,1
14,15,1018.4,17.8,77.0,85.0,1.2,40.0,20.9,2.700000000000001,4.666666666666667,Medium,1
15,16,1024.3,15.3,79.0,91.0,0.3,20.0,20.0,5.300000000000001,5.266666666666667,Low,1
16,17,1022.5,16.3,79.0,70.0,6.8,20.0,30.3,4.9,5.266666666666667,Medium,1
17,18,1034.6,17.5,68.0,60.0,2.5,50.0,13.4,3.4000000000000004,4.197530864197531,Low,0
18,19,1024.1,16.8,76.0,77.0,0.0,20.0,20.5,2.8000000000000007,4.810126582278481,Medium,1
19,20,1020.2,16.4,75.0,93.0,0.1,40.0,21.9,3.6999999999999993,5.0,Medium,1
20,21,1022.4,17.7,92.0,88.0,0.4,30.0,39.7,2.8999999999999986,5.609756097560976,Medium,1
21,22,1022.6,21.9,52.0,49.0,9.1,50.0,10.2,6.099999999999998,2.9213483146067416,Low,0
22,23,1020.6,18.5,95.0,95.0,0.0,60.0,39.5,1.6000000000000014,5.491329479768786,Medium,1
23,24,1013.0,24.8,90.0,92.0,0.0,70.0,30.4,7.699999999999999,4.522613065326634,Medium,1
24,25,1012.5,23.8,84.0,88.0,0.0,70.0,30.2,3.400000000000002,3.7837837837837838,Medium,1
25,26,1019.5,25.3,76.0,78.0,10.2,80.0,10.2,4.300000000000001,3.408071748878924,Low,1
26,27,1013.4,23.8,92.0,95.0,0.0,40.0,15.9,4.0,4.360189573459715,Low,1
27,28,1017.0,21.7,80.0,80.0,2.6,50.0,14.5,2.3000000000000007,3.9408866995073892,Low,1
28,29,1019.9,22.9,86.0,79.0,0.6,50.0,21.4,3.6999999999999993,4.114832535885168,Medium,1
29,30,1018.1,23.1,74.0,49.0,7.7,40.0,14.3,3.900000000000002,3.5576923076923075,Low,0
30,31,1018.5,21.3,75.0,69.0,7.7,70.0,35.1,2.0,3.694581280788177,Medium,1
31,32,1019.5,23.2,82.0,69.0,1.1,40.0,20.5,3.099999999999998,3.710407239819004,Medium,0
32,33,1020.4,21.3,52.0,56.0,2.9,40.0,21.3,4.0,2.7659574468085104,Medium,0
33,34,1024.4,21.6,90.0,95.0,4.3,70.0,35.3,4.200000000000003,4.66321243523316,Medium,1
34,35,1017.0,21.5,91.0,88.0,0.0,50.0,14.3,2.8999999999999986,4.417475728155339,Low,1
35,36,1023.1,18.2,78.0,89.0,0.0,50.0,28.4,1.8999999999999986,4.56140350877193,Medium,0
36,37,1014.4,22.9,79.0,88.0,0.0,40.0,18.4,2.8999999999999986,3.6915887850467293,Low,1
37,38,1021.8,21.1,74.0,44.0,9.5,20.0,26.7,3.3000000000000007,4.065934065934066,Medium,0
38,39,1023.1,20.4,75.0,43.0,9.2,60.0,11.9,5.599999999999998,4.213483146067415,Low,0
